Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
glpRischRotkreu,481294082,4,13,0,16,glp Risch Rotkreuz,2/2/12 15:18,de,47.1409607,8.4319296,Rotkreuz,GLP,1
BDPRubigen,2214210146,7,14,0,14,BDP Sektion Rubigen,11/25/13 15:04,de,46.9002,7.54926,Rubigen,BDP,1
MarkusLusti,2314329986,0,3,0,8,Markus Lusti,1/27/14 21:17,de,46.9002,7.54926,Rubigen,EVP,1
CHiltbrunner,1295602698,1070,120,623,122,ChristinaHiltbrunner,3/24/13 15:19,de,46.8216019,7.4393601,Rüeggisberg,EVP,1
pewe66,156203907,352,26,0,13,Peter Weidinger,6/16/10 8:30,de,47.2600572,8.8532354,Rüti,CVP,1
YvonneBuergin,2380493820,158,103,337,165,Yvonne Bürgin,3/9/14 13:50,de,47.2583008,8.8522501,Rüti,CVP,1
roduitbenjamin,2317281625,7,99,1,87,Roduit Benjamin,1/29/14 14:50,fr,46.1718129,7.1862577,Saillon,CVP,1
patrice_gfeller,198700971,87,73,1,77,Patrice Gfeller,10/5/10 0:50,fr,47.151775,6.997197,Saint-Imier,GPS,1
FFarquet,314556020,331,169,110,256,François Farquet,6/10/11 13:03,fr,46.253918,6.216459,Saint-Maurice,CVP,1
PLRStMaurice,555339377,77,101,0,116,PLR St-Maurice,4/16/12 18:50,fr,46.253918,6.216459,Saint-Maurice,FDP,1
ChapuisLolo,457708766,2,24,0,65,Chapuis Loïc,1/7/12 18:36,fr,47.3645287,7.1536999,Saint-Ursanne,SVP,1
udcvr64,256863130,210,281,12,314,Jean-Luc Addor,2/24/11 6:36,fr,46.2493328,7.3499212,Savièse,SVP,1
haraldjenny,336358581,361,40,5,73,Harald Jenny,7/16/11 4:53,de,47.7077664,8.6414424,Schaffhausen,FDP,1
AlexLimacher,351548364,1982,293,22,606,Alexander Limacher,8/9/11 12:05,de,47.17177,8.13905,Schenkon,SVP,1
J_Gfeller,313444910,27,12,0,74,Jonathan Gfeller,6/8/11 17:26,de,47.447398,8.137716,Schinznach,SP,1
NikolausWyss,482057586,82,88,8,363,Nikolaus Wyss,2/3/12 13:40,de,47.3984409,8.4440533,Schlieren,GLP,1
fa_b_au,275182338,508,166,15,358,Fabian Baumann,3/31/11 19:53,de,47.442165,9.076376,Schwarzenbach,BDP,1
marcusflepp,251282875,690,174,7,571,Marcus Flepp,2/12/11 20:32,de,47.442165,9.076376,Schwarzenbach,SP,1
schweizerclody,369975284,7,16,1,30,Claudia Schweizer,9/8/11 7:57,de,47.3536652,9.2485985,Schwellbrunn,SVP,1
JusoSchwyz,356034169,6,41,0,5,Juso Schwyz,8/16/11 7:28,de,47.0198346,8.6473977,Schwyz,SP,1
SPschwyz,470269120,2,34,0,22,SP Schwyz,1/21/12 14:16,de,47.021801,8.6584997,Schwyz,SP,1
Reto_Steinmann,29293066,20,41,1,130,Reto Steinmann,4/6/09 21:05,de,47.3435,8.77012,Seegräben,FDP,1
schollchristoph,970859814,43,35,4,108,Christoph Scholl,11/25/12 22:01,de,47.2057736,7.4549009,Selzach,FDP,1
Sonenfogel,190726438,0,8,0,39,Christian Bärtschi,9/14/10 17:51,de,47.535709,8.7340363,Seuzach,GLP,1
antholamon,271833159,165,313,19,326,Anthony Lamon,3/25/11 8:21,fr,46.2905006,7.5202498,Sierre,CVP,1
OlivierSalamin,297600093,290,401,1,123,Salamin Olivier,5/12/11 19:44,fr,46.2796058,7.5062903,Sierre,SP,1
PLRSierre,549132213,141,149,0,360,PLR Sierre,4/9/12 8:19,fr,46.2905006,7.5202498,Sierre,FDP,1
juliendeleze,786311353,134,217,12,183,Julien Délèze,8/28/12 5:57,fr,46.2308006,7.3848,Sion,SP,1
kasquet,403460647,1115,474,21,426,Florian Chappot,11/2/11 14:45,fr,46.2308006,7.3848,Sion,SP,1
michelrothen,149495104,35,372,8,23,Michel Rothen,5/29/10 12:43,fr,46.2308006,7.3848,Sion,CVP,1
PLRdistrictSion,1020300854,80,108,0,88,PLRdistrictSion,12/18/12 17:47,fr,46.2308006,7.3848,Sion,FDP,1
plrsion,608846353,425,251,2,445,plrsion,6/15/12 6:44,fr,46.2308006,7.3848,Sion,FDP,1
VertsduCentre,1651100172,25,80,5,121,Verts-Valais-Centre,8/6/13 20:08,fr,46.2308006,7.3848,Sion,GPS,1
isaacreber,231352195,223,511,19,165,Isaac Reber,12/28/10 8:06,de,47.4613727,7.8118588,Sissach,GPS,1
ClaudioMarrari,531029965,609,121,4,141,Claudio Marrari,3/20/12 8:23,de,47.2086574,7.5379549,Solothurn,SP,1
CVP_Kt_SO,251398848,34,130,1,6,CVP Kanton Solothurn,2/13/11 2:06,de,47.2086574,7.5379549,Solothurn,CVP,1
